Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
Syed Mokhtar AlBukhary,1.2,Malaysia,"engineering, energy, construction",2378,69.0,"Kuala Lumpur, Malaysia",Malaysia,Married,5.0,"Drop Out, High School",True,AS,MY,0,1,0,0,0,0,0,0
Anant Asavabhokin,1.2,Thailand,real estate,2378,70.0,"Bangkok, Thailand",Thailand,Married,3.0,,True,AS,TH,0,1,0,0,0,0,0,0
Thomas Bailey,1.2,United States,money management,2378,84.0,"Aspen, Colorado",United States,Divorced,2.0,"Bachelor of Arts/Science, Michigan State University; Master of Business Administration, University of Western Ontario",True,NAm,US,0,0,0,1,0,0,1,0
Shay Banon,1.2,Israel,search engine,2378,43.0,"Palo Alto, California",Israel,Married,,,True,AS,IL,0,1,0,0,0,0,0,0
Sachin Bansal,1.2,India,flipkart,2378,39.0,"Bangalore, India",India,Married,1.0,"Bachelor of Science in Engineering, Indian Institute of Technology",True,AS,IN,0,1,0,0,0,0,0,0
Christian Bertermann,1.2,Germany,used car sales,2378,37.0,"Berlin, Germany",Germany,,,"Bachelor of Business Administration, University of Manheim",True,EU,DE,0,0,1,0,0,0,0,0
Cao Kejian,1.2,China,air compressors,2378,59.0,"Quzhou, China",China,Married,1.0,,True,AS,CN,0,1,0,0,0,0,0,1
Edouard Carmignac,1.2,France,asset management,2378,73.0,"Paris, France",France,Married,5.0,,True,EU,FR,0,0,1,0,0,0,0,0
Chen Gang,1.2,China,solar energy,2378,53.0,"Guangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Chen Tianqiao,1.2,China,online games,2378,47.0,"Atherton, California",China,Married,2.0,"Bachelor of Arts/Science, Fudan University",True,AS,CN,0,1,0,0,0,0,0,1
Henry Cheng,1.2,Hong Kong,diversified,2378,74.0,"Hong Kong, Hong Kong",Hong Kong,Married,4.0,"Bachelor of Arts/Science, The University of Western Ontario - Richard Ivey School of Business; Master of Business Administration, The University of Western Ontario - Richard Ivey School of Business",False,AS,HK,0,1,0,0,0,0,0,0
Cheng Wei,1.2,China,ride-hailing service,2378,38.0,"Beijing, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Chey Ki-won,1.2,South Korea,"computer services, telecom",2378,56.0,"Seoul, South Korea",South Korea,Divorced,,,False,AS,KR,0,1,0,0,0,0,0,0
Chua Thian Poh,1.2,Singapore,real estate,2378,72.0,"Singapore, Singapore",Singapore,Married,4.0,,True,AS,SG,0,1,0,0,0,0,0,0
Ronald Clarke,1.2,United States,payments technology,2378,65.0,"Duluth, Georgia",United States,Married,2.0,"Bachelor of Arts/Science, Colby College; Master of Business Administration, Cornell University",True,NAm,US,0,0,0,1,0,0,1,0
Sandor Csanyi,1.2,Hungary,"finance, real estate",2378,68.0,"Budapest, Hungary",Hungary,Married,5.0,,True,EU,HU,0,0,1,0,0,0,0,0
Diego Della Valle,1.2,Italy,shoes,2378,67.0,"Sant'' Elpidio A Mare, Italy",Italy,Married,2.0,,False,EU,IT,0,0,1,0,0,0,0,0
Deng Hui & family,1.2,United States,software,2378,59.0,"Hangzhou, China",United States,Married,,"Ph.D, Washington University in St. Louis",True,NAm,US,0,0,0,1,0,0,1,0
Carl DeSantis,1.2,United States,energy drink,2378,81.0,"Delray Beach, Florida",United States,,,,True,NAm,US,0,0,0,1,0,0,1,0
